Sony ILCE-7RM4,Sony/ILCE-7RM4/DSC00395.ARW,ILCE-7RM4,50,1.594,3.642,1.996
Sony ILCE-7RM5,Sony/ILCE-7RM5/7RM5-LosslessCompressedLarge.ARW,ILCE-7RM5,100,2.986,6.057,3.821
Sony ILCE-7S,Sony/ILCE-7S/DSC04125.ARW,ILCE-7S,400,2.570,4.265,3.201
Sony ILCE-7SM3,Sony/ILCE-7SM3/DSC01568.ARW,ILCE-7SM3,80,2.373,4.128,2.831
Sony ILCE-9,Sony/ILCE-9/Sony_-_ILCE-9_-_compressed.ARW,ILCE-9,100,1.119,2.450,1.847
Sony ILCE-9M2,Sony/ILCE-9M2/SONY_A9II_(ILCE-9M2)_-_compressed_(3:2)_12bit.ARW,ILCE-9M2,640,2.203,3.617,2.622
Sony ILCE-9M3,Sony/ILCE-9M3/DSC00110.ARW,ILCE-9M3,1000,2.744,4.997,3.492
Sony NEX-3,Sony/NEX-3/RAW_SONY_NEX3.ARW,NEX-3,1600,2.262,4.576,4.394
Sony NEX-5,Sony/NEX-5/20150924T092802_Château_Schönbrunn_AT.ARW,NEX-5,200,2.247,3.538,2.514
Sony NEX-5N,Sony/NEX-5N/DSC02519.ARW,NEX-5N,100,2.317,4.064,3.263
Sony NEX-5R,Sony/NEX-5R/RAW_SONY_NEX-5R.ARW,NEX-5R,1600,1.905,3.318,2.467
Sony NEX-5T,Sony/NEX-5T/DSC01723.ARW,NEX-5T,100,3.929,7.705,3.778
Sony NEX-6,Sony/NEX-6/DSC07133.ARW,NEX-6,200,3.501,3.237,3.538
Sony NEX-7,Sony/NEX-7/RAW_SONY_NEX7.ARW,NEX-7,100,2.072,3.918,2.725
Sony NEX-C3,Sony/NEX-C3/DSC01977.ARW,NEX-C3,200,1.910,3.418,2.453
Sony SLT-A35,Sony/SLT-A35/DSC01566.ARW,SLT-A35,400,1.973,3.524,2.396
Sony SLT-A37,Sony/SLT-A37/DSC06850.ARW,SLT-A37,800,2.140,3.352,2.408
Sony SLT-A57,Sony/SLT-A57/a57-06125.arw,SLT-A57,100,1.706,3.095,2.487
Sony SLT-A58,Sony/SLT-A58/DSC01523.ARW,SLT-A58,100,2.614,4.124,3.706
Sony ZV-1,Sony/ZV-1/DSC00056.ARW,ZV-1,125,2.764,6.617,3.432
Sony ZV-E10,Sony/ZV-E10/DSC00002.ARW,ZV-E10,400,2.176,4.239,2.599
